course_id,name,deadline,max_grade
1,Assignment 0,2022-09-14 23:59:59,0
2,Assignment 0,2022-09-14 23:59:59,0
1,Assignment 1,2022-09-19 23:59:59,100
2,Assignment 1,2022-09-19 23:59:59,100
7,A1,2022-09-22 23:59:59,100
4,A1,2022-09-23 11:0:0,50
5,A1,2022-09-23 11:0:0,50
6,A1,2022-09-23 11:0:0,50
3,Assignment 1,2022-09-23 23:59:59,100
8,Assignment 1,2022-09-26 23:59:59,100
9,Assignment 1,2022-09-26 23:59:59,100
4,A2,2022-10-07 11:0:0,50
5,A2,2022-10-07 11:0:0,50
6,A2,2022-10-07 11:0:0,50
7,Midterm 1,2022-10-07 14:0:0,100
3,Assignment 2,2022-10-07 23:59:59,100
1,Assignment 2,2022-10-10 23:59:59,100
2,Assignment 2,2022-10-10 23:59:59,100
